S_num,D_from_ft,D_to_ft,k_max,k_90,k_vert,G_den_G_CC,Poro_percent,Sw,So
17-46,4398.15,4398.6,0.8,0.55,<.01,2.77,3.3,31.1,0
17-47,4399.1,4399.75,0.83,0.78,<.01,2.8,5.1,37.5,0
17-48,4400.65,4401,1.91,1.27,<.01,2.79,5.3,35.4,0
17-50,4402,4402.45,1.01,0.52,<.01,2.81,3.5,33.5,0
17-52,4404,4404.35,29.83,13.85,<.01,2.79,8.1,33.5,0
17-53,4405.85,4406.4,13.31,2.49,<.01,2.82,1.2,83.1,0
17-56,4408,4408.6,12.39,7.84,<.01,2.79,3.3,56.1,0
17-58,4410,4410.5,0.03,0.03,<.01,2.83,1.2,25,0
17-59,4411.15,4411.75,1.5,0.91,<.01,2.8,4,31.5,0
17-60,4412.55,4412.95,0.05,0.02,<.01,2.84,1.5,37.9,0
18-1,4414.8,4415,0.34,0.2,0.75,2.81,2.2,34.7,0
18-3,4416.4,4417,3.26,0.43,<.01,2.81,1.5,26.5,0
18-5,4418.5,4418.95,4.19,3.64,<.01,2.8,2.1,46.4,0
18-7,4420.35,4420.7,1.07,0.14,<.01,2.79,3.6,34.1,0
18-9,4422,4422.6,0.02,0.02,<.01,2.81,1.7,34.5,0
18-11,4424.2,4424.65,6.31,5.09,<.01,2.81,0.9,36.9,0
18-13,4426.05,4426.55,43.19,43.1,<.01,2.8,3.6,40.2,0
18-14,4427.8,4428,38.76,2.65,32.27,2.82,5.2,13.4,0
